NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=947.195s, table=0, n_packets=28864, n_bytes=1847296, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9017 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29071, n_bytes=1860544, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9018 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=0, n_bytes=0, idle_age=947, priority=100,udp,tp_src=20003,tp_dst=9019 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29156, n_bytes=1865984, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9000 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29156, n_bytes=1865984, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9001 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=28904, n_bytes=1849856, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9002 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=28761, n_bytes=1840704, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9003 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=29189, n_bytes=1868096, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9004 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29360, n_bytes=1879040, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9005 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=28896, n_bytes=1849344, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9006 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=29234, n_bytes=1870976, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9007 actions=drop
 cookie=0x0, duration=947.195s, table=0, n_packets=29174, n_bytes=1867136, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9008 actions=output:2
 cookie=0x0, duration=947.195s, table=0, n_packets=28721, n_bytes=1838144, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9009 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=28718, n_bytes=1837952, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9010 actions=output:2
 cookie=0x0, duration=947.194s, table=0, n_packets=28981, n_bytes=1854784, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9011 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=29017, n_bytes=1857088, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9012 actions=output:2
 cookie=0x0, duration=947.194s, table=0, n_packets=28700, n_bytes=1836800, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9013 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=29073, n_bytes=1860672, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9014 actions=output:2
 cookie=0x0, duration=947.194s, table=0, n_packets=29208, n_bytes=1869312, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9015 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=29001, n_bytes=1856064, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9016 actions=output:2
