NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=406.940s, table=0, n_packets=5095, n_bytes=326080, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9035 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5170, n_bytes=330880, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9036 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5205, n_bytes=333120, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9037 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5192, n_bytes=332288, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9038 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5147, n_bytes=329408, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9039 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5257, n_bytes=336448, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9040 actions=drop
 cookie=0x0, duration=406.940s, table=0, n_packets=5079, n_bytes=325056, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9041 actions=output:2
 cookie=0x0, duration=406.940s, table=0, n_packets=5193, n_bytes=332352, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9042 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5145, n_bytes=329280, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9043 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5144, n_bytes=329216, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9044 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5119, n_bytes=327616, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9045 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5238, n_bytes=335232, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9046 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5081, n_bytes=325184, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9047 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5136, n_bytes=328704, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9048 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=0, n_bytes=0, idle_age=406, priority=100,udp,tp_src=20001,tp_dst=9049 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5246, n_bytes=335744, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9000 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5128, n_bytes=328192, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9001 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5118, n_bytes=327552, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9002 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5222, n_bytes=334208, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9003 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5171, n_bytes=330944, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9004 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5194, n_bytes=332416, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9005 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5193, n_bytes=332352, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9006 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5269, n_bytes=337216, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9007 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5156, n_bytes=329984, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9008 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5208, n_bytes=333312, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9009 actions=drop
 cookie=0x0, duration=406.939s, table=0, n_packets=5134, n_bytes=328576, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9010 actions=output:2
 cookie=0x0, duration=406.939s, table=0, n_packets=5139, n_bytes=328896, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9011 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5153, n_bytes=329792, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9012 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5061, n_bytes=323904, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9013 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5122, n_bytes=327808, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9014 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5171, n_bytes=330944, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9015 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5075, n_bytes=324800, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9016 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5097, n_bytes=326208, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9017 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5206, n_bytes=333184, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9018 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5138, n_bytes=328832, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9019 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5091, n_bytes=325824, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9020 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5274, n_bytes=337536, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9021 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5126, n_bytes=328064, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9022 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5235, n_bytes=335040, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9023 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5031, n_bytes=321984, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9024 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5077, n_bytes=324928, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9025 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5017, n_bytes=321088, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9026 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5105, n_bytes=326720, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9027 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5246, n_bytes=335744, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9028 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5250, n_bytes=336000, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9029 actions=drop
 cookie=0x0, duration=406.938s, table=0, n_packets=5221, n_bytes=334144, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9030 actions=output:2
 cookie=0x0, duration=406.938s, table=0, n_packets=5219, n_bytes=334016, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9031 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5227, n_bytes=334528, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9032 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5175, n_bytes=331200, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9033 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5256, n_bytes=336384, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9034 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5126, n_bytes=328064, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9035 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5150, n_bytes=329600, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9036 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5113, n_bytes=327232, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9037 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5221, n_bytes=334144, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9038 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5146, n_bytes=329344, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9039 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5137, n_bytes=328768, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9040 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5063, n_bytes=324032, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9041 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5016, n_bytes=321024, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9042 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5138, n_bytes=328832, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9043 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5145, n_bytes=329280, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9044 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5159, n_bytes=330176, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9045 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=4957, n_bytes=317248, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9046 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=5160, n_bytes=330240, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9047 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5144, n_bytes=329216, idle_age=0, priority=100,udp,tp_src=20002,tp_dst=9048 actions=output:2
 cookie=0x0, duration=406.937s, table=0, n_packets=0, n_bytes=0, idle_age=406, priority=100,udp,tp_src=20002,tp_dst=9049 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5200, n_bytes=332800, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9000 actions=drop
 cookie=0x0, duration=406.937s, table=0, n_packets=5058, n_bytes=323712, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9001 actions=output:2
 cookie=0x0, duration=406.936s, table=0, n_packets=5086, n_bytes=325504, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9002 actions=drop
 cookie=0x0, duration=406.936s, table=0, n_packets=5126, n_bytes=328064, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9003 actions=output:2
 cookie=0x0, duration=406.936s, table=0, n_packets=5124, n_bytes=327936, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9004 actions=drop
 cookie=0x0, duration=406.936s, table=0, n_packets=5131, n_bytes=328384, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9005 actions=output:2
 cookie=0x0, duration=406.936s, table=0, n_packets=5047, n_bytes=323008, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9006 actions=drop
 cookie=0x0, duration=406.936s, table=0, n_packets=5100, n_bytes=326400, idle_age=0, priority=100,udp,tp_src=20003,tp_dst=9007 actions=output:2
